Nome,Endereço,Data de nascimento,Cor,Sexo,Identidade,CPF,Estado
João Santos,"Sítio Camargo, 28, Boa Vista, 36805468 Fonseca / TO",1966-09-02,Parda,Feminino,36404424-7,548.716.923-37,TO
Bianca Nogueira,"Recanto da Rosa, 39, Lorena, 10578231 Nascimento dos Dourados / AP",1981-12-30,Preta,Masculino,56849571-5,812.649.537-55,AP
Júlia Castro,"Conjunto João Miguel Aparecida, 72, São Francisco Das Chagas, 62754-265 Cavalcante / DF",1985-09-13,Parda,Masculino,85334638-8,160.439.782-96,DF
Sophie Rezende,"Conjunto de da Conceição, Nossa Senhora De Fátima, 72442-231 Ferreira / AM",1977-01-19,Preta,Feminino,19566460-1,480.572.631-80,AM
Oliver Aragão,"Núcleo Stephany Pinto, 58, Beija Flor, 05805520 Vasconcelos / DF",1963-06-04,Parda,Masculino,24982606-3,831.275.690-68,DF
Eduarda Barros,"Via Moreira, 8, Betânia, 90741-041 Sampaio da Mata / SC",1972-10-11,Amarela,Masculino,75274052-0,195.864.730-66,SC
Nathan Nascimento,"Via Garcia, Vila Califórnia, 47298-584 Rezende de Rios / RJ",1968-12-17,Amarela,Masculino,62517999-1,469.827.153-37,RJ
Luiz Henrique Teixeira,"Estrada Ravi Lucca Machado, 5, Vila Coqueiral, 70031355 Marques de Minas / RO",1986-01-09,Preta,Masculino,58334438-4,854.612.970-30,RO
Vitória Duarte,"Avenida José Moreira, 83, Cruzeiro, 47642-375 Pacheco da Prata / MG",1983-10-05,Amarela,Feminino,66452042-7,729.463.510-25,MG
Sra. Ana Laura Duarte,"Alameda Emanuella Cardoso, 18, Confisco, 55686-073 Azevedo / PA",1974-10-27,Parda,Masculino,69629565-3,032.896.475-10,PA
João Gabriel Porto,"Condomínio Marcela Martins, 83, São Tomaz, 47751809 Nogueira Verde / MA",2006-10-17,Parda,Masculino,46079883-3,542.081.973-23,MA
Amanda Novaes,"Lago Correia, 56, Santana Do Cafezal, 49150-390 Cirino / RJ",1983-08-08,Amarela,Masculino,84309737-0,705.641.328-53,RJ
Cauê da Cunha,"Vila de Barros, 6, Nova Vista, 04544561 Melo / ES",1993-03-21,Amarela,Feminino,45269438-8,673.950.821-68,ES
Ana Cecília da Luz,"Residencial de Moreira, 65, Mariano De Abreu, 24470477 Sampaio / MS",1989-01-10,Amarela,Masculino,90552792-9,598.721.634-64,MS
Bárbara Brito,"Trevo Breno Aparecida, 24, Ermelinda, 04915-262 da Conceição / AP",2005-01-02,Indígena,Feminino,27738528-4,853.906.172-40,AP
Murilo Cavalcante,"Largo de Azevedo, 74, Conjunto Paulo Vi, 87248-755 Aragão da Mata / TO",1988-03-29,Parda,Masculino,93376815-7,930.145.627-34,TO
Isaque Martins,"Trevo de Andrade, 4, Manacas, 57473072 Marques de Abreu / TO",1963-08-18,Parda,Masculino,99127631-2,127.306.548-44,TO
Maria Nunes,"Quadra Emilly Sampaio, 28, São Salvador, 40789142 Alves / MT",1976-07-19,Amarela,Feminino,53146917-1,238.750.916-12,MT
Lorena Barbosa,"Largo de da Mata, 38, Conjunto Floramar, 86476-662 Camargo / PR",1993-01-11,Branca,Masculino,26917445-5,509.437.128-23,PR
Caleb Vieira,"Estação Maria Camargo, 150, Nova Vista, 06244130 Mendes Paulista / PE",1962-09-07,Indígena,Masculino,77216095-7,641.980.372-13,PE
Mirella da Luz,"Colônia Camila Fernandes, 95, Pompéia, 82418041 Siqueira de Fernandes / SE",1976-04-14,Amarela,Feminino,19923973-3,358.960.172-86,SE
Murilo Azevedo,"Trecho Correia, 37, Santo André, 47618264 Moraes de Rios / SE",1986-07-31,Branca,Masculino,30676787-2,945.638.701-10,SE
Ester Brito,"Fazenda Fernandes, 88, Vila Novo São Lucas, 11273-470 Melo / PA",2005-06-17,Amarela,Masculino,97400473-3,952.784.610-20,PA
Yuri Moraes,"Distrito Moraes, 17, Vila Pilar, 69588-330 Montenegro de Novaes / AL",1999-10-26,Branca,Masculino,29245898-0,348.105.796-20,AL
Valentim Casa Grande,"Residencial Farias, 85, Vila Paquetá, 10244-481 Vargas / PI",2000-01-07,Branca,Feminino,33073991-1,318.402.579-97,PI
Davi Lucas Sampaio,"Loteamento Ravy Nascimento, Vila Mantiqueira, 82701-294 Pinto das Pedras / PE",1990-09-25,Preta,Feminino,84913387-9,502.461.837-80,PE
Luiz Gustavo Fogaça,"Recanto Melo, 5, Primeiro De Maio, 38028-326 Gonçalves da Serra / RN",1988-09-05,Branca,Feminino,53241718-5,893.721.046-04,RN
Ana Farias,"Rodovia Melo, 86, Mariano De Abreu, 60825-951 Jesus da Praia / SC",1987-11-10,Amarela,Feminino,38088129-5,135.067.489-39,SC
Manuella Câmara,"Avenida Silveira, 6, Santa Rita De Cássia, 09538-974 Nogueira dos Dourados / GO",1985-01-20,Parda,Masculino,71590054-8,041.265.378-80,GO
Sra. Hellena da Mota,"Parque Vasconcelos, 450, Vila Petropolis, 68554731 Nogueira da Praia / GO",1997-04-17,Preta,Masculino,99817071-5,403.961.875-01,GO
Gabriel Costela,"Esplanada Bernardo Souza, 66, Ermelinda, 64264772 Fonseca do Campo / PB",1971-04-23,Preta,Masculino,58625856-3,769.312.508-68,PB
Beatriz Pimenta,"Loteamento Heloísa Camargo, 77, Comiteco, 43519-064 Jesus / BA",1998-08-07,Amarela,Masculino,10743545-5,807.632.954-00,BA
Maria Vitória Rios,"Rua de Sousa, 204, Vila São Gabriel Jacui, 16551-272 Marques / RJ",1966-01-17,Parda,Masculino,73529359-5,058.463.172-35,RJ
Davi Miguel da Costa,"Rua Josué da Rocha, 3, Palmeiras, 45585105 Câmara do Sul / BA",2005-07-23,Preta,Feminino,83649355-7,012.867.549-76,BA
Lavínia Teixeira,"Sítio Viana, 7, Coração Eucarístico, 84256-652 Moreira / RO",1971-04-09,Preta,Masculino,11180459-2,430.791.826-69,RO
Dante Lopes,"Conjunto Ribeiro, Nossa Senhora De Fátima, 06313-047 Farias / AL",1976-12-27,Indígena,Feminino,64366989-7,429.387.160-87,AL
Pedro Henrique Oliveira,"Campo Melissa Barros, 896, Vila Da Luz, 71961-710 Pimenta / PB",1977-01-13,Preta,Masculino,27955380-4,749.312.805-79,PB
Dr. Thiago Vasconcelos,"Sítio Rodrigues, 66, Jardim São José, 24127049 das Neves de Rodrigues / CE",1985-05-11,Amarela,Feminino,18513010-8,873.594.601-66,CE
Maitê Peixoto,"Praça de Silveira, 1, Outro, 69102-383 Vieira / PA",1971-10-07,Parda,Feminino,23160824-7,628.194.570-02,PA
Sr. Benicio Cirino,"Jardim da Conceição, 1, Baleia, 47666-629 Dias / DF",1998-08-05,Amarela,Masculino,66681365-7,487.365.210-35,DF
Luiz Miguel Nunes,"Campo de da Rocha, 18, São Benedito, 87588632 Camargo das Pedras / AC",1961-01-28,Branca,Masculino,17696368-5,407.291.835-05,AC
Ester Leão,"Trecho Helena Rezende, 99, Caetano Furquim, 68668676 Lima Verde / RO",1961-02-26,Parda,Masculino,68277324-8,389.510.742-50,RO
Valentim Costela,"Aeroporto de Leão, 79, São Salvador, 50261-319 Lopes / SP",1970-11-27,Preta,Masculino,24070315-0,719.023.586-86,SP
Sra. Stella Vasconcelos,"Praça Costa, 6, São João Batista, 85331435 Sá / TO",1971-02-25,Parda,Feminino,85257995-0,943.851.207-14,TO
Dr. Marcos Vinicius Albuquerque,"Recanto Ana Clara Nascimento, 45, Brasil Industrial, 03387-016 Leão / AL",1968-11-29,Amarela,Feminino,48945326-4,734.268.951-37,AL
Henry Castro,"Passarela Maria Eduarda Alves, 86, São Bento, 88852367 Pacheco de Lopes / RJ",1992-03-06,Parda,Feminino,16521463-5,531.286.749-73,RJ
Dr. Anthony Gabriel Monteiro,"Praça de Freitas, 63, Lourdes, 69988488 Melo / MS",1981-06-23,Amarela,Feminino,52825405-0,719.658.340-00,MS
Pedro Miguel Pastor,"Trecho Caio Martins, Serra Verde, 89987-644 Sousa do Sul / RS",1986-03-26,Parda,Feminino,40283590-1,501.647.392-70,RS
Mariah Gomes,"Campo Heitor Porto, 90, Vila Maria, 32082562 Rios dos Dourados / AM",1965-03-07,Preta,Feminino,48549976-0,159.824.703-41,AM
Sr. Luiz Henrique Cavalcante,"Recanto Júlia Porto, 8, Rio Branco, 27252-866 Carvalho / BA",1966-02-23,Branca,Feminino,47604541-0,529.647.801-02,BA
João Gabriel Correia,"Ladeira Macedo, 79, Castelo, 67225298 Farias do Campo / GO",1997-12-27,Indígena,Masculino,52264762-7,860.154.327-80,GO
Gael Henrique Casa Grande,"Passarela Silva, 40, Alto Vera Cruz, 44191355 Mendes Grande / MT",1978-03-02,Parda,Masculino,51776335-4,605.917.384-57,MT
Lorenzo Oliveira,"Colônia Vitor Nunes, 56, Vila Calafate, 27203652 Fogaça da Serra / GO",1973-07-01,Amarela,Feminino,66033096-1,185.490.672-02,GO
Juliana Campos,"Alameda Campos, Nossa Senhora Da Aparecida, 87449-923 Moreira da Prata / MA",1990-04-05,Parda,Feminino,65469132-3,284.397.615-46,MA
Leandro da Cunha,"Chácara de Fernandes, 44, Conjunto São Francisco De Assis, 88660-352 Moura / PI",2005-12-30,Amarela,Masculino,12943526-7,076.928.345-47,PI
Maria Flor Silva,"Rodovia Carvalho, 28, Vila Jardim Montanhes, 16784-376 Azevedo / AC",1961-05-09,Preta,Masculino,69687897-4,340.125.789-79,AC
Yasmin Machado,"Fazenda Fernanda Machado, 92, Barreiro, 34461-093 Montenegro / RN",1960-10-10,Parda,Masculino,88179734-2,893.401.562-42,RN
